Removed Pin From Net: NetName=GND Pin=2-1
Removed Pin From Net: NetName=GND Pin=4-1
Removed Pin From Net: NetName=GND Pin=C1-2
Removed Pin From Net: NetName=GND Pin=C2-2
Change Component DesignItemId : Designator=C4 Old DesignItemId=C0009 New DesignItemId=C0038
Change Component DesignItemId : Designator=R2 Old DesignItemId=R0206 New DesignItemId=R0094
Change Component DesignItemId : Designator=R1 Old DesignItemId=R0206 New DesignItemId=R0236
Change Component DesignItemId : Designator=R3 Old DesignItemId=R0238 New DesignItemId=R0215
Change Component DesignItemId : Designator=R4 Old DesignItemId=R0240 New DesignItemId=R0091
Change Component DesignItemId : Designator=RP1 Old DesignItemId=RA0004 New DesignItemId=RA0003
Change Component Footprint: Designator=C4 Old Footprint=C0805 New Footprint=C0603
Change Component Footprint: Designator=R1 Old Footprint=R0805 New Footprint=R0603
Change Component Footprint: Designator=R2 Old Footprint=R0805 New Footprint=R0603
Change Component Footprint: Designator=RP1 Old Footprint=R_adj_3314J New Footprint=3296W
Change Component Comment : Designator=R3 Old Comment=0603-13,0 кОм±1% SMD -60°C ~ 155°C New Comment=0603-1,2 кОм±5% SMD -60°C ~ 155°C
Change Component Comment : Designator=R4 Old Comment=0603-47,5 кОм±1% SMD -60°C ~ 155°C New Comment=0603-24 кОм±5% SMD -60°C ~ 155°C
Change Component Comment : Designator=R2 Old Comment=0805-62,0 Ом±1% SMD -55°C ~ 155°C New Comment=0603-6,81 кОм±1% SMD -60°C ~ 155°C
Change Component Comment : Designator=R1 Old Comment=0805-62,0 Ом±1% SMD -55°C ~ 155°C New Comment=0603-100 кОм±5% SMD -60°C ~ 155°C
Change Component Comment : Designator=C4 Old Comment=К10-47Мв - 2012М-50В-0,01 мкФ±20%-Н20-N (Монолит) SMD 0805-0,01мкФ±20% 50В Н20. -60°C ~ 125°C New Comment=GRM188R71H103KA01 (Murata) SMD 0603-0,01мкФ±10% 50В X7R. -55°C ~ 125°C
Change Component Comment : Designator=RP1 Old Comment=Резистор 3314J-1-103E New Comment=Резистор 3296W-1-202LF
Change Component Description : Designator=C4 Old Description=0805, 0,01мк, ±20%, 50В, Н20 New Description=0603, 0,01мк, ±10%, 50В, X7R
Change Component Description : Designator=R1 Old Description=Общего применения, 1% New Description=Общего применения, 5%
Change Component Description : Designator=R3 Old Description=Общего применения, 1% New Description=Общего применения, 5%
Change Component Description : Designator=R4 Old Description=Общего применения, 1% New Description=Общего применения, 5%
Change Component Description : Designator=RP1 Old Description=Резистор подстроечный 10к 0.25Вт Bourns New Description=Резистор подстроечный многооборотный 10к 0.5Вт Bourns
Change component parameters: Designator = "C4" ("C4"); Footprint = "C0805"; UniqueID = "\XKYHVJKM" ("\XKYHVJKM")
Change component parameters (AddParameter): Name = "ClassName"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Параметры конденсатора (Murata)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "D:/AltiumDoc/Library/Datasheets/Murata/GRM188R71H103KA01_.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Сайт производителя"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.murata.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "Страница поставщика (Чип и Дип)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://www.chipdip.ru/product/grm188r71h103k"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "Описание конденсатора на сайте производителя (Murata)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "https://www.murata.com/en-eu/products/productdetail?partno=GRM188R71H103KA01%23"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Cost"; Value = "3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ID"; Value = "C0038"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Murata"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ManufacturerPartNumber"; Value = "GRM188R71H103KA01"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Name_for_setter"; Value = "0603-0,01мк±10%/50В--GRM188R71H103KA01 *** SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power/Voltage"; Value = "50В"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rem"; Value = "SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SMD"; Value = "SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "TKE"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "0,01мк"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ВП/ОТК"; Value = "Импорт"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Корпус"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Примечание"; Value = "Murata"; VariantName = "[No Variations]"
